CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;COD_CLIENTE;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;2245006207;31267;MEDQUIMICA IND FARMACEUTICA S.;119712;119712,0;IOLANDA F F FREITAS LTDA;CE;619,36;
3;1298033542;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;137217;85007,0;FARMACIA GOTA MAIS LTDA;CE;914,96;
1;2245006264;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;94216;85839,0;A. AIRLA VERAS PINTO DE SOUZA;CE;301,9;
3;2419002709;30105;ALYNE - CIGEL DISTRIBUIDORA DE COSMETI;99072;20039,0;GERARDO DE SOUSA MAIA COM DE MEDIC DO BRASIL LTDA;CE;1826,54;
1;1075053270;47252;HYPERA S.A;126972;97412,0;DROGARIA C L P LTDA;CE;1829,58;
1;477053451;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;92359;92359,0;SANTO INACIO COMERCIAL DE MEDICAMENTOS EIRELI ME;CE;1729,12;
3;443041744;789603;SOFTYS BRASIL LTDA;90102;84005,0;BUENO EMPEENDIMENTOS FARM. FILIAL 1;CE;1860,3;
6;2696001002;792121;GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA;67636;54739,0;F M F DE SOUSA MEE;PI;590,48;
1;58065053;793718;BIOLAB FARMA GENERICOS LTDA;80712;80712,0;ANTONIA COELHO SAMPAIO;CE;1274,87;
1;285192672;47252;HYPERA S.A;135294;135294,0;CARIRI FARMA LTDA;CE;469,48;
1;520037747;33928;GEOLAB IND FARMACEUTICA S/A;135159;135159,0;NEO FARMA LTDA;CE;454,48;
1;1117032066;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;122762;122762,0;SUELY P DA SILVA COMERCIO DE MEDICAMENTOS;CE;1489,57;
5;2472001178;796144;BRACELL PAPEIS NORDESTE LTDA;123620;123620,0;SUPREMAFARMA SUCUPIRA DO NORTE LTDA;MA;469,68;
9;1142029330;789603;SOFTYS BRASIL LTDA;124798;124798,0;W CICERO DOS SANTOS MERCADINHO;PE;984,74;
9;2492004040;793247;NATIVITA INDUSTRIA E COMERCIO LTDA;102810;102810,0;M MARIA DOS SANTOS MEDEIROS - ME;PE;22191,02;
9;2392005452;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;103738;103738,0;MARIA DO CARMO COLATINO DE BARROS ME;PE;1044,1;
3;634021779;792121;GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA;80918;81356,0;FARMACIAS E DROGARIAS FELIX LTDA;CE;740,71;
9;1142029298;789603;SOFTYS BRASIL LTDA;131087;127956,0;49.589.980 RENATA BOTELHO MELO;PE;991,77;
1;1064024476;53333;GERMED FARMACEUTICA LTDA;88506;88506,0;P U O VASCONCELOS;CE;3171,76;
9;2341009849;47252;HYPERA S.A;102085;102085,0;FARMACIA J J CAVALCANTI LTDA ME;PE;459,85;
1;1983015121;47252;HYPERA S.A;81174;86926,0;M L FERNANDES MATRIZ 01;CE;6799,61;
1;58064991;31267;MEDQUIMICA IND FARMACEUTICA S.;92428;88631,0;MOISES FERNANDES E ESTELA MACLA MEDICAMENTOS LTDA;CE;670,92;
1;520037777;796097;VIDORA FILIAL;137471;137471,0;J MOREIRA RODRIGUES;CE;2195,6;
1;520037777;794468;CELLERA CONSUMO LTDA (ES);137471;137471,0;J MOREIRA RODRIGUES;CE;2195,6;
1;2245006237;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;133581;133581,0;B DE F EVANGELISTA E CIA LTDA;CE;188,0;
7;1466013944;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;7827;4672,0;FARME BRITO LTDA;BA;376,0;
5;1890003617;32816;DKT DO BRASIL PROD.DE USO PESS (PRUDENCE);133380;96359,0;COMERCIO DE MEDICAMENTOS FENIX LTDA;MA;324,48;
7;1466014275;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;126466;10663,0;ICL FARMACIA LTDA;BA;383,88;
1;1465028004;793261;FARMAX DISTRIBUIDORA S.A;131038;99150,0;PREA FARMA LTDA;CE;344,72;
1;483087359;37273;LEGRAND PHARMA IND FARM LTDA;124120;88717,0;C E D COMERCIAL LTDA;CE;3287,67;
1;6292058619;37273;LEGRAND PHARMA IND FARM LTDA;134659;123399,0;AGB CAUCAIA LTDA;CE;5131,59;
1;2251007639;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;66303;66303,0;DROGARIA JOSE RODRIGUES LTDA;CE;815,46;
1;131069590;53333;GERMED FARMACEUTICA LTDA;129018;129018,0;FARMACIA ALPHA LTDA;CE;3826,7;
7;1466014494;796144;BRACELL PAPEIS NORDESTE LTDA;7827;4672,0;FARME BRITO LTDA;BA;1056,0;
1;131069586;33057;NATULAB LABORATORIO LTDA;124166;124166,0;FARMACIA AMIGA DO TRABALHADOR BURITI LTDA  EPP;CE;1166,4;
3;1298033682;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;90600;85007,0;FARMANOSSA COMERCIO DE MEDICAMENTOS LTDA ME;CE;417,42;
1;2250008784;793261;FARMAX DISTRIBUIDORA S.A;123373;123373,0;(TF) DROGAPHARMA SAUDE E VIDA LTDA  ME;CE;850,02;
2;1108015767;789603;SOFTYS BRASIL LTDA;67636;54739,0;F M F DE SOUSA MEE;PI;2887,79;
1;89095637;789429;PRATI DONADUZZI & CIA LTDA - PR;131455;129511,0;REALPHARMA LTDA*;CE;7552,72;
3;20021113;789603;SOFTYS BRASIL LTDA;91033;91033,0;RINAURIA AGUIAR AZEVEDO;CE;3027,0;
5;2577000574;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;131511;93814,0;L M CELLA DROGARIAS LTDA;MA;755,62;
9;2333008136;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;131999;131999,0;ERIKA BARBOSA ADELINO DE OLIVEIRA;PE;867,99;
1;285192863;33928;GEOLAB IND FARMACEUTICA S/A;93449;93449,0;COMERCIAL ALENCAR COSTA DE MEDICEMNTOS LTDA ME;CE;3010,7;
1;6292058616;73474;SANFARMA INDUSTRIA, COMERCIO E IMPORTACAO E EXPORTACAO LTDA;99292;123399,0;B E A COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;CE;4234,33;
9;2394004176;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;101912;101912,0;F C BEZERRA ME;PE;744,82;
1;1117032119;793261;FARMAX DISTRIBUIDORA S.A;93661;93661,0;DROGARIA POPULAR PORTEIRAS LTDA;CE;770,65;
9;1456016253;789603;SOFTYS BRASIL LTDA;102069;102068,0;DROGARIAS IDEIA FARMA LTDA;PE;14354,12;
5;2660003165;47252;HYPERA S.A;137400;131423,0;MAIS FRALDAS LTDA;MA;1887,87;
7;2261012911;47252;HYPERA S.A;5358;5358,0;ULTRA BARATO COM DE PROD FARM LTDA - ME;BA;395,95;
2;636024049;47252;HYPERA S.A;95974;95974,0;I DA SILVA COSTA & CIA LTDA;PI;3272,97;
9;2402003535;789603;SOFTYS BRASIL LTDA;102147;100582,0;S & R COMERCIO DE MEDICAMENTOS LTDA ME;PE;43238,97;
1;559030739;793261;FARMAX DISTRIBUIDORA S.A;93752;93752,0;F NIKELLY PEREIRA DE ALMEIDA;CE;2874,03;
1;953054028;796144;BRACELL PAPEIS NORDESTE LTDA;135757;99574,0;COMERCIO DE MEDICAMENTOS NEVES LTDA;CE;2398,8;
3;703011167;795345;DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP;97038;97038,0;FARMACIA CASTELO BRANCO LTDA;CE;8033,08;
9;1907012111;789603;SOFTYS BRASIL LTDA;131114;121015,0;SHIRLEY MATIAS PROD FARMACEUTICOS LTDA;PE;7116,88;
3;1340006304;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;80539;81190,0;FARM.LEITE VIANA LTDA;CE;5398,0;
3;951007412;789603;SOFTYS BRASIL LTDA;132860;93209,0;ESSENCIAL FARMA ACOPIARA LTDA;CE;24022,49;
3;443041503;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;120212;93179,0;COMERCIAL DE MEDICAMENTOS COMPLEXO PHARMA LTDA;CE;4733,96;
5;2576004389;47252;HYPERA S.A;131759;54445,0;FERREIRA E PASSOS DRUGSTORE LTDA;MA;1410,37;
3;1501004045;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;20053;88504,0;ESPEDITO CLAUDIO FSF LTDA;CE;6222,32;
7;1492015596;793718;BIOLAB FARMA GENERICOS LTDA;6865;6865,0;COMERCIAL FARMACEUTICO EDLUCIO SANTANA L;BA;1615,64;
7;1259027195;794468;CELLERA CONSUMO LTDA (ES);126530;8018,0;FARMACIA MUTTI LTDA;BA;684,23;
1;1102110221;47252;HYPERA S.A;81187;81187,0;L.M.A ALENCAR - ME;CE;2288,63;
3;2363001615;30105;ALYNE - CIGEL DISTRIBUIDORA DE COSMETI;99883;99883,0;FARMACIA FARMED LTDA;CE;13907,5;
1;1064024324;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;8265;8265,0;FARMACIA DONATO LTDA;CE;4145,2;
3;1501004047;789603;SOFTYS BRASIL LTDA;89918;87708,0;FERNANDO RUFINO SOBRINHO E CIA LTDA;CE;179,4;
2;535049865;47252;HYPERA S.A;127970;124075,0;VITORIA MASCARENHAS VARGAS;PI;1506,27;
7;2699000581;31267;MEDQUIMICA IND FARMACEUTICA S.;2168;2165,0;OSNI MELGACO BULCAO E CIA LTDA FL4;BA;179,76;
7;2494005002;47252;HYPERA S.A;4244;4244,0;GERALDO RAMOS RODRIGUES;BA;689,57;
1;4510173260;31305;LABORATORIO GLOBO LTDA;86829;80619,0;JOBSON COMERCIAL DE MEDICAMENTOS LTDA;CE;475,56;
7;2258005169;790283;PHARLAB INDUSTRIA FARMACEUTICA S.A;124948;777,0;DROGARIA ECONOMICA COMERCIO DE MEDICAMENTOS E SERVICOS LTDA;BA;1393,65;
1;953054113;796144;BRACELL PAPEIS NORDESTE LTDA;132809;99574,0;REBEKA NEVES DE MENEZES ME;CE;3518,24;
9;2574004074;790283;PHARLAB INDUSTRIA FARMACEUTICA S.A;136080;121015,0;S. MATIAS MEDICAMENTOS LTDA;PE;92,46;
7;2494005018;47252;HYPERA S.A;683;683,0;ORMEZINDA ANTUNES DOS SANTOS LIMA - ME;BA;454,49;
5;925009142;789423;KLEY HERTZ DISTRIBUIDORA LTDA;92724;92724,0;OSVALDO DA SILVEIRA GOMES;MA;1593,44;
2;2015020475;47252;HYPERA S.A;55409;55107,0;M B R CARDOSO;PI;188,13;
3;443041499;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;99042;93179,0;COMERCIAL DE MEDICAMENTOS COMPLEXO PHARMA LTDA;CE;15118,26;
2;429027937;47252;HYPERA S.A;137799;118828,0;ERIC NICOLAS CASTRO SILVA & CIA LTDA;PI;3198,52;
3;452022962;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;118052;92311,0;A.C. DA FONSECA REGIS MENDES CONRADO;CE;279,76;
7;2663000871;789603;SOFTYS BRASIL LTDA;2628;2628,0;JAKSON CLEY GERALDI;BA;12567,84;
1;1465027827;794468;CELLERA CONSUMO LTDA (ES);99809;89086,0;FARMACIA ALKENIA SOARES EIRELI  ME;CE;2016,02;
1;285192464;31267;MEDQUIMICA IND FARMACEUTICA S.;85701;85701,0;CIDRAO FARMA LTDA;CE;7933,63;
2;2015020526;47252;HYPERA S.A;59609;59609,0;JOAO ALBERTO ALVES RODRIGUES M;PI;1745,99;
3;1298033190;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;90858;85007,0;FARMACIA GOTA MAIS FILIAL 06;CE;2063,62;
5;2660003206;47252;HYPERA S.A;131427;131423,0;MAIS FRALDAS LTDA;MA;1642,7;
3;1045005526;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;95562;87995,0;SUPERMERCADO MORANGUINHO LTDA;CE;2546,0;
2;2015020609;789423;KLEY HERTZ DISTRIBUIDORA LTDA;100366;100366,0;M M G DE MORAES EIRELI;PI;2848,18;
9;2510007891;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;136103;103320,0;VITAL FARMA LTDA;PE;2885,69;
5;941020998;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;96300;91836,0;V S OLIVEIRA & CIA LTDA;MA;872,86;
3;1298033346;792121;GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA;90600;85007,0;FARMANOSSA COMERCIO DE MEDICAMENTOS LTDA ME;CE;758,0;
7;1492015667;31267;MEDQUIMICA IND FARMACEUTICA S.;119481;8140,0;DROGARIA ARAUJO MARTINS LTDA;BA;527,95;
3;1996006281;789603;SOFTYS BRASIL LTDA;90822;85007,0;FARMACIA GOTA MAIS LTDA FILIAL02;CE;597,14;
7;4830882058;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;98591;3843,0;FARMACIA ROCHA FIGUEIREDO LTDA;BA;1716,56;
3;14024089;139553;CCM IND E COM DE PROD DESCART S/A - DINNO/PLENTY;130466;86926,0;FARMACIAS FERNANDES LTDA FL 08;CE;8901,24;
7;2544003461;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;8253;8253,0;FAMED COM DE MEDICAMENTOS LTDA;BA;5935,75;
1;2651001456;33928;GEOLAB IND FARMACEUTICA S/A;84933;84933,0;RAFAEL S. VIEIRA;CE;346,31;
